"x","yhat"
5,-1.48157562253409
5.616,-1.45870325068216
6.232,-1.43635828842522
6.848,-1.41454646159679
7.464,-1.39327349603034
8.08,-1.37254511755937
8.696,-1.35236705201738
9.312,-1.33274502523787
9.928,-1.31368476305432
10.544,-1.29519199130022
11.16,-1.27727243580909
11.776,-1.25993182241439
12.392,-1.24317587694964
13.008,-1.22701032524833
13.624,-1.21144089314394
14.24,-1.19647330646998
14.856,-1.18211329105994
15.472,-1.1683665727473
16.088,-1.15523887736557
16.704,-1.14273593074824
17.32,-1.13086345872881
17.936,-1.11962718714076
18.552,-1.10900476561512
19.168,-1.09846241686926
19.784,-1.08806937084988
20.4,-1.07819044412559
21.016,-1.06919045326498
21.632,-1.06143421483665
22.248,-1.05528654540919
22.864,-1.0511122615512
23.48,-1.05092083598399
24.096,-1.0561461931235
24.712,-1.06558430058262
25.328,-1.07802389268079
25.944,-1.09225370373749
26.56,-1.10706246807219
27.176,-1.12123892000434
27.792,-1.13357179385341
28.408,-1.14284982393886
29.024,-1.14786602167456
29.64,-1.15057422615029
30.256,-1.15300722923307
30.872,-1.15471219565757
31.488,-1.15523629015848
32.104,-1.15412667747044
32.72,-1.15093052232814
33.336,-1.14519498946623
33.952,-1.13622418377633
34.568,-1.11937167877076
35.184,-1.09640140805692
35.8,-1.0718103436999
36.416,-1.05009545776481
37.032,-1.0300913145482
37.648,-1.00458116193955
38.264,-0.984763469095684
38.88,-0.96622638163933
39.496,-0.947202355344151
40.112,-0.928230473283109
40.728,-0.909849818529167
41.344,-0.892595727031657
41.96,-0.876093432167783
42.576,-0.859881810149942
43.192,-0.844071418798615
43.808,-0.828772815934284
44.424,-0.814096559377432
45.04,-0.800153206948539
45.656,-0.787053316468088
46.272,-0.77473929638546
46.888,-0.762593315611887
47.504,-0.750547444490529
48.12,-0.73860324490333
48.736,-0.726762278732234
49.352,-0.715026107859186
49.968,-0.703396294166129
50.584,-0.691874399535008
51.2,-0.680461985847767
51.816,-0.669160614986351
52.432,-0.657971848832704
53.048,-0.64689724926877
53.664,-0.635938378176493
54.28,-0.625096797437818
54.896,-0.614374068934688
55.512,-0.603771754549049
56.128,-0.593291416162844
56.744,-0.582934615658017
57.36,-0.572702914916514
57.976,-0.562597875820278
58.592,-0.552621060251252
59.208,-0.542774030091383
59.824,-0.533058347222614
60.44,-0.523475573526888
61.056,-0.514027270886152
61.672,-0.504715001182348
62.288,-0.495540326297421
62.904,-0.486504808113315
63.52,-0.477610008511975
64.136,-0.468857489375344
64.752,-0.460248812585368
65.368,-0.45178554002399
65.984,-0.443469233573154
66.6,-0.435301455114805
